Item Name,Category,Brand Name,Device Age,Device Condition,Material Recovery Rate,Device Type,Year of Manufacture,Market Value of Metals,Cost of Recovery,Profit,Gold (g),Aluminum (g),Silver (g),Carbon (g),Platinum (g),Rhodium (g),Nickel (g),Tin (g),Lithium (g),Current Metal Value ($),Recycling Score
Sony Alpha A7,Cat3,Sony,9,Average,50.97,IT Equipment,1996,551.59,36.48,515.11,4.7,27.79,0.33,3.54,0.57,0.67,3.97,1.48,6.23,646.373273,5
Amazon Echo,Cat3,Sony,30,Good,80.31,IT Equipment,2001,346.63,6.23,340.4,0.34,21.11,0.77,8.84,0.66,0.49,13.62,4.47,1.64,333.772207,5
Surface Pro 7,Cat3,Dell,22,Broken,56.1,Consumer Electronics,1997,602.68,44.02,558.66,4.12,10.22,1.03,1.38,1.84,0.89,2.68,3.03,6.29,812.3526180000001,5
Surface Laptop 4,Cat4,Lenovo,8,Average,72.98,Appliance,2010,441.34,18.11,423.23,3.43,45.54,2.65,0.32,0.36,0.04,1.5,1.27,6.94,213.12992200000002,4
Xbox Series X,Cat3,Dell,4,Broken,64.3,IT Equipment,2006,369.89,26.25,343.64,0.75,28.02,2.27,8.44,0.03,0.76,6.9,2.98,2.61,475.7261880000001,5
Oculus Quest 2,Cat1,Lenovo,17,Broken,70.31,IT Equipment,2006,530.91,37.46,493.45,3.8,30.29,2.56,4.41,1.56,0.37,12.33,2.76,0.66,484.159361,3
Nintendo Switch,Cat3,Philips,5,Good,84.01,IT Equipment,2001,446.44,32.57,413.87,1.17,5.09,1.0,9.9,0.46,0.75,7.6,4.89,5.85,513.258679,5
MacBook Air,Cat3,Apple,3,Good,57.74,Consumer Electronics,1999,341.1,43.75,297.35,2.1,23.39,0.47,3.87,0.62,0.12,5.26,4.46,4.35,206.092981,5
Sony WH-1000XM4,Cat3,Lenovo,10,Good,66.2,Consumer Electronics,2002,500.85,22.18,478.67,3.34,6.98,0.71,7.96,1.82,0.21,6.26,3.29,6.8,383.22631400000006,5
Fire TV Stick,Cat4,Panasonic,1,Average,75.62,Appliance,2018,359.82,44.7,315.12,3.29,7.07,0.77,5.07,0.29,0.39,5.62,0.34,2.27,401.44968900000003,4
Sony Bravia TV,Cat3,HP,3,Broken,68.78,Appliance,1997,566.58,45.65,520.93,4.09,32.64,2.77,5.36,0.97,0.9,2.97,0.53,3.87,770.762448,5
MacBook Pro,Cat1,LG,30,Good,75.59,IT Equipment,2000,577.35,6.76,570.59,4.88,15.42,0.47,6.96,1.54,0.83,6.32,0.25,3.83,798.69039,3
iPhone 11,Cat2,Samsung,14,Average,74.94,Appliance,2017,433.82,35.73,398.09,1.72,3.29,1.56,0.38,1.46,0.42,14.91,1.2,2.08,404.748765,4
iPhone 12,Cat4,Dell,27,Good,84.04,Consumer Electronics,2006,416.35,11.39,404.96,3.56,10.36,1.54,5.13,1.62,0.79,0.69,2.08,0.15,715.379668,4
Surface Laptop 4,Cat4,LG,13,Broken,77.67,Appliance,1991,579.45,43.06,536.39,2.45,2.54,0.96,7.09,1.82,0.88,14.33,0.42,4.85,723.398462,4
Sony WH-1000XM4,Cat3,Toshiba,2,Good,88.52,Appliance,1992,690.31,22.77,667.54,4.63,20.05,2.28,7.41,1.85,0.91,4.09,4.0,6.27,850.1864250000001,5
Oculus Quest 2,Cat1,Toshiba,5,Broken,73.42,IT Equipment,2013,393.88,12.1,381.78,2.5,4.4,1.76,8.29,1.1,0.08,4.57,0.39,6.36,229.35471399999997,3
Fire TV Stick,Cat1,LG,14,Average,89.51,Appliance,1999,375.29,47.77,327.52,2.34,20.26,2.31,8.85,0.51,0.5,1.99,2.18,3.05,430.561088,3
Denon AV Receiver,Cat3,Apple,6,Average,50.06,Appliance,2003,440.62,32.4,408.22,4.49,48.49,0.08,5.7,1.04,0.36,0.03,3.68,3.69,483.2467330000001,5
Samsung Galaxy Watch 3,Cat4,HP,29,Average,94.43,IT Equipment,2004,384.07,15.38,368.69,0.98,6.03,1.18,8.17,0.01,0.45,10.78,0.59,6.03,307.999109,4
Toshiba Fire TV,Cat2,Samsung,16,Average,52.08,IT Equipment,2009,411.33,16.34,394.99,2.64,17.46,2.62,2.78,0.75,0.11,12.53,3.73,0.52,234.78630800000002,4
Yamaha Receiver,Cat4,HP,6,Average,85.06,Consumer Electronics,2000,412.17,26.25,385.92,1.07,45.19,2.64,2.57,1.11,0.41,10.22,0.67,3.36,349.100837,4
Samsung QLED TV,Cat4,LG,25,Broken,55.26,Appliance,2009,318.48,21.32,297.16,1.32,25.82,1.17,0.62,0.01,0.45,12.2,0.25,0.92,324.25301,4
Roku Ultra,Cat2,LG,19,Broken,56.56,IT Equipment,2008,362.02,17.56,344.46,0.5,0.35,1.66,7.44,1.76,0.35,2.6,4.32,6.4,321.12960699999996,4
Nintendo Switch,Cat2,Panasonic,15,Average,50.18,Appliance,2019,439.5,49.25,390.25,1.27,30.26,2.12,6.67,1.03,0.43,12.87,3.68,2.65,365.78923799999995,4
Yamaha Receiver,Cat1,Apple,4,Broken,86.99,Consumer Electronics,2009,416.34,15.86,400.48,3.91,8.68,2.3,4.32,1.24,0.41,2.84,0.23,1.46,495.03623799999997,3
Google Home,Cat1,Samsung,26,Average,90.39,IT Equipment,2017,397.09,19.14,377.95,2.15,24.95,1.44,8.76,0.1,0.45,8.03,3.27,3.12,370.231737,3
Pixel 5,Cat4,Lenovo,27,Average,74.64,IT Equipment,2023,611.59,26.84,584.75,4.81,40.33,1.14,2.12,0.88,0.52,12.0,2.35,3.94,582.833555,4
Denon AV Receiver,Cat2,Sony,27,Broken,78.65,Consumer Electronics,2012,426.14,26.84,399.3,2.93,47.04,2.67,3.43,1.48,0.4,0.14,2.41,3.18,454.490896,4
Sony Alpha A7,Cat2,HP,1,Good,71.21,Appliance,2018,166.66,38.81,127.85,0.64,16.43,1.16,5.2,0.7,0.06,2.42,2.1,1.27,104.24129499999998,4
Pixel 5,Cat4,Panasonic,25,Broken,56.66,Consumer Electronics,2003,457.23,25.85,431.38,1.34,37.89,1.92,5.13,0.31,0.96,0.36,3.57,6.84,634.487727,4
Samsung Blu-ray Player,Cat3,LG,20,Broken,51.32,Appliance,2022,481.66,16.87,464.79,0.27,22.42,0.17,8.08,1.85,0.79,12.62,3.21,6.26,566.076646,5
Roku Ultra,Cat2,Toshiba,24,Broken,76.52,Consumer Electronics,1999,515.34,44.26,471.08,3.56,36.98,1.53,0.98,0.06,0.46,11.0,1.8,4.26,443.31582,4
HP Spectre,Cat2,Apple,7,Average,60.22,Appliance,1993,428.52,6.87,421.65,3.93,45.16,0.31,7.27,0.94,0.28,6.04,1.58,2.85,404.61487800000003,4
Dell XPS 13,Cat3,Dell,20,Broken,60.36,Consumer Electronics,1990,540.28,44.09,496.19,2.91,43.51,2.92,1.92,1.71,0.52,12.67,0.13,2.13,534.7539330000001,5
Samsung Galaxy Watch 3,Cat2,LG,17,Good,53.64,Appliance,1993,434.38,11.75,422.63,0.52,47.34,2.95,5.79,0.54,0.52,7.18,0.75,6.89,355.0581700000001,4
HP Spectre,Cat3,LG,23,Good,66.59,Consumer Electronics,2014,590.06,34.59,555.47,4.93,30.37,1.62,8.16,0.89,0.88,4.07,4.53,2.53,795.584823,5
Lenovo Yoga,Cat3,Toshiba,2,Average,79.53,Consumer Electronics,2020,517.08,17.29,499.79,2.3,23.55,1.49,4.07,1.47,0.91,12.16,3.33,1.17,714.4764230000001,5
Pixel 5,Cat3,Apple,13,Average,61.5,Consumer Electronics,1992,338.26,38.68,299.58,0.13,6.16,1.7,0.91,1.59,0.88,7.51,2.9,0.4,597.00898,5
Roku Ultra,Cat1,Samsung,29,Broken,55.99,IT Equipment,1992,284.78,23.99,260.79,0.06,5.72,0.49,2.15,1.52,0.08,12.96,2.48,2.96,131.048638,3
Garmin Forerunner,Cat2,Philips,5,Average,64.02,Consumer Electronics,2007,552.62,37.21,515.41,3.62,37.99,1.25,1.8,1.42,0.93,11.14,2.99,0.18,787.901199,4
Apple Watch Series 6,Cat3,Toshiba,6,Broken,53.68,Appliance,2007,559.5,27.26,532.24,4.52,3.07,1.96,5.32,1.72,0.99,5.5,1.7,0.66,882.845775,5
Oculus Quest 2,Cat1,Toshiba,17,Average,83.54,Appliance,2015,274.31,33.77,240.54,1.41,26.83,0.46,6.47,0.09,0.63,4.08,2.6,0.94,435.629735,3
Sony Alpha A7,Cat1,Philips,22,Average,78.49,Appliance,1990,589.33,8.5,580.83,4.09,1.53,0.55,3.05,0.22,0.6,13.95,1.15,6.22,557.727865,3
Nest Thermostat,Cat4,Philips,16,Broken,85.9,IT Equipment,2019,344.03,9.71,334.32,1.81,12.43,2.29,2.85,0.61,0.62,3.94,1.3,1.42,478.451785,4
MacBook Pro,Cat4,HP,6,Average,58.24,Consumer Electronics,2009,376.68,17.8,358.88,0.35,28.89,1.47,1.25,1.4,0.18,9.53,3.23,5.88,197.047033,4
Samsung Galaxy Watch 3,Cat2,Panasonic,16,Good,70.24,Consumer Electronics,2020,407.4,23.0,384.4,2.87,12.17,0.63,1.15,0.99,0.81,4.62,4.08,0.59,658.796983,4
Toshiba Fire TV,Cat3,Toshiba,13,Average,56.33,IT Equipment,2014,366.9,11.74,355.16,0.52,4.18,2.0,4.97,0.2,0.89,7.48,0.84,3.34,547.849594,5
PS5,Cat2,Dell,21,Good,88.05,IT Equipment,1998,485.1,6.91,478.19,1.44,10.17,1.66,4.88,1.95,0.7,14.62,4.98,0.8,577.6965130000001,4
MacBook Air,Cat1,Apple,4,Good,67.3,IT Equipment,2022,594.47,33.13,561.34,4.63,15.3,1.54,6.48,0.74,0.86,5.5,1.89,4.71,761.451224,3
ThinkPad X1,Cat2,Lenovo,13,Average,90.82,Appliance,2002,450.67,21.07,429.6,2.82,23.7,0.83,2.14,1.0,0.3,10.98,3.48,3.2,365.12808800000005,4
iPad Pro,Cat3,Lenovo,10,Broken,94.27,Appliance,2010,462.16,6.95,455.21,3.06,4.82,1.49,5.5,0.41,0.94,8.27,0.7,1.34,712.08482,5
Sony Bravia TV,Cat1,Apple,30,Average,57.76,IT Equipment,1990,451.24,11.22,440.02,1.47,31.38,1.32,6.63,0.6,0.83,5.07,1.94,5.95,581.5106739999999,3
Amazon Echo,Cat2,Sony,28,Average,72.83,Appliance,2006,141.07,48.46,92.61,0.03,14.49,0.75,2.1,1.47,0.17,2.24,0.12,1.01,178.247367,4
Nest Thermostat,Cat4,Philips,23,Broken,83.14,Consumer Electronics,2002,546.93,34.16,512.77,0.16,25.35,2.03,8.72,1.64,0.73,14.57,4.22,6.78,516.2106369999999,4
Surface Pro 7,Cat4,LG,8,Good,79.47,IT Equipment,1995,568.67,46.94,521.73,2.56,3.73,2.65,2.77,1.74,0.64,12.1,1.85,4.4,587.9191850000001,4
Lenovo Yoga,Cat3,LG,15,Good,83.85,Appliance,2019,512.36,15.41,496.95,2.84,7.62,2.73,9.6,0.71,0.59,10.97,1.76,3.14,517.753056,5
Galaxy S21,Cat3,Apple,11,Good,59.07,Consumer Electronics,2011,364.11,31.53,332.58,0.34,15.79,1.63,0.03,0.59,0.61,12.79,4.77,1.16,399.207047,5
Denon AV Receiver,Cat3,Lenovo,27,Broken,68.68,IT Equipment,2014,435.72,36.17,399.55,3.28,46.57,0.34,3.78,1.08,0.37,2.08,4.51,4.72,431.9518509999999,5
Dell XPS 13,Cat2,Toshiba,21,Average,65.71,Appliance,1995,573.32,28.17,545.15,1.57,41.27,2.64,2.44,1.98,0.85,6.8,4.8,5.72,672.660575,4
JBL Charge 4,Cat4,Sony,20,Good,69.93,IT Equipment,2012,422.52,33.51,389.01,0.6,36.06,1.34,8.54,1.91,0.24,8.47,4.21,6.38,271.0346559999999,4
PS5,Cat3,Dell,9,Broken,91.34,Appliance,2011,451.93,35.17,416.76,2.3,45.8,1.48,4.54,1.75,0.41,3.82,2.89,5.04,443.290774,5
Nintendo Switch,Cat1,HP,14,Broken,57.18,IT Equipment,2014,477.21,10.28,466.93,2.61,35.49,1.88,0.34,0.65,0.47,8.21,4.35,3.75,434.129215,3
Galaxy S21,Cat2,Panasonic,8,Broken,66.8,Consumer Electronics,1999,358.01,30.78,327.23,1.1,23.98,2.29,9.13,0.55,0.62,6.72,3.98,1.17,440.44022800000005,4
Panasonic Viera,Cat1,LG,15,Average,93.45,Consumer Electronics,1998,278.49,32.0,246.49,0.15,34.9,2.09,3.47,1.91,0.39,2.04,2.2,2.34,334.7671,3
Denon AV Receiver,Cat2,Philips,12,Average,72.51,Consumer Electronics,2020,415.72,45.29,370.43,2.41,44.11,1.5,6.65,0.13,0.2,6.06,1.98,6.2,241.70424300000005,4
iPad Pro,Cat2,Dell,28,Average,77.52,IT Equipment,2018,504.57,42.15,462.42,3.92,5.1,1.43,0.53,1.42,0.13,11.85,1.22,3.99,344.622132,4
MacBook Pro,Cat1,Panasonic,14,Average,73.34,Appliance,1990,610.21,45.19,565.02,4.36,29.44,1.46,9.35,1.84,0.99,5.77,4.44,2.11,881.392144,3
Pioneer AV Receiver,Cat4,Sony,19,Broken,78.8,Consumer Electronics,2003,469.5,17.8,451.7,3.38,37.52,1.75,4.65,0.42,0.71,5.02,4.27,1.68,596.841052,4
Apple Watch Series 6,Cat1,Samsung,20,Average,61.84,Appliance,2017,367.17,48.1,319.07,0.53,7.01,1.57,7.07,0.73,0.45,13.95,3.25,2.08,324.38848500000006,3
Sony WH-1000XM4,Cat3,Sony,22,Good,88.81,Appliance,1994,553.97,36.41,517.56,4.27,34.83,1.61,7.01,0.11,0.47,11.42,4.35,2.93,486.574995,5
HP Spectre,Cat3,LG,21,Average,85.31,IT Equipment,1997,339.69,27.68,312.01,2.97,40.18,0.03,7.95,1.24,0.07,5.09,0.02,3.5,253.03427200000002,5
Sony Bravia TV,Cat2,Sony,14,Average,81.73,IT Equipment,2009,341.69,20.41,321.28,0.18,35.79,1.24,9.88,0.93,0.87,2.31,0.64,4.76,558.504839,4
DJI Mavic Air 2,Cat2,Samsung,8,Average,75.94,IT Equipment,2020,511.43,30.75,480.68,2.47,6.96,2.24,6.54,1.19,0.92,2.82,0.43,6.09,714.2533980000001,4
PS5,Cat1,LG,25,Good,56.59,IT Equipment,1999,315.08,7.67,307.41,2.01,33.0,1.37,7.03,0.01,0.15,3.97,4.54,3.18,186.582734,3
Pioneer AV Receiver,Cat4,Dell,20,Good,82.6,Consumer Electronics,2015,468.87,15.43,453.44,3.61,15.77,0.58,2.54,1.04,0.46,12.62,3.66,0.49,497.3641209999999,4
iPhone 12,Cat4,LG,12,Average,88.59,Appliance,1997,429.59,43.58,386.01,0.64,20.76,2.28,6.17,1.51,0.42,10.74,0.36,5.52,355.082796,4
MacBook Air,Cat1,LG,14,Average,79.87,IT Equipment,1995,456.85,18.43,438.42,3.24,29.43,0.22,9.75,0.45,0.23,9.66,4.96,4.42,315.98373100000003,3
Canon EOS R5,Cat2,Philips,1,Broken,70.66,Consumer Electronics,1993,359.55,32.19,327.36,2.93,34.57,1.72,4.93,0.79,0.13,7.37,0.36,1.6,262.140261,4
JBL Charge 4,Cat4,LG,23,Good,61.11,Appliance,2002,442.76,24.92,417.84,1.48,10.04,1.86,8.32,0.27,0.98,11.68,1.01,1.78,650.1849859999999,4
Bose SoundLink,Cat4,LG,10,Broken,51.8,Appliance,2012,635.4,40.39,595.01,3.29,37.31,0.63,5.47,0.9,0.79,14.05,4.9,5.51,663.8557050000001,4
Surface Pro 7,Cat3,Philips,7,Average,57.59,IT Equipment,2021,407.67,35.97,371.7,0.6,28.4,1.75,8.9,1.69,0.2,12.78,4.53,3.66,236.337128,5
Canon EOS R5,Cat1,Lenovo,10,Good,56.65,Appliance,2023,320.79,7.04,313.75,0.24,19.06,2.87,0.57,1.54,0.65,4.01,4.55,0.36,468.62573000000003,3
Oculus Quest 2,Cat1,HP,19,Average,94.91,Appliance,2001,289.99,13.24,276.75,0.26,39.64,2.26,6.33,0.45,0.26,3.05,1.8,5.1,187.84766,3
Pixel 5,Cat3,Apple,27,Broken,84.8,Appliance,2012,600.86,42.86,558.0,4.69,29.09,2.19,4.82,1.68,0.37,6.6,4.65,4.35,534.4324849999999,5
Galaxy Tab S7,Cat2,Toshiba,5,Good,84.37,IT Equipment,2008,437.99,41.65,396.34,2.84,10.13,1.45,3.87,1.16,0.86,2.77,4.95,1.14,695.5914250000001,4
PS5,Cat1,LG,6,Good,50.03,Consumer Electronics,2023,507.16,14.86,492.3,4.67,35.02,1.11,7.62,0.23,0.74,1.37,3.71,3.28,666.966966,3
Samsung Galaxy Watch 3,Cat4,Philips,4,Broken,62.41,Consumer Electronics,2022,410.3,35.18,375.12,3.53,47.16,1.95,2.97,0.87,0.31,1.76,1.56,2.91,399.28870599999993,4
Apple TV 4K,Cat1,Panasonic,4,Good,92.18,Appliance,1998,410.39,9.68,400.71,2.89,12.81,0.72,6.93,0.2,0.97,2.92,1.85,2.23,709.283475,3
Nintendo Switch,Cat2,Philips,10,Good,84.71,IT Equipment,2002,259.55,6.13,253.42,1.08,8.21,2.35,2.85,0.05,0.39,0.6,4.24,2.11,280.885539,4
Nintendo Switch,Cat4,Dell,22,Average,89.49,Consumer Electronics,2019,335.96,46.61,289.35,1.3,21.5,1.53,0.92,0.69,0.62,2.52,2.46,3.16,457.43967599999996,4
MacBook Air,Cat4,Sony,30,Broken,75.9,Appliance,2021,549.73,29.39,520.34,3.56,49.51,0.49,8.83,1.22,0.88,4.08,4.87,4.23,745.521247,4
Sony WH-1000XM4,Cat1,Apple,21,Good,65.91,Consumer Electronics,2004,514.02,25.33,488.69,1.51,28.9,1.57,5.7,1.93,0.42,12.17,1.91,6.29,420.07756600000005,3
LG Sound Bar,Cat1,Samsung,12,Average,87.46,Consumer Electronics,2011,480.06,8.2,471.86,0.67,19.36,2.69,9.96,1.57,0.46,14.17,2.03,4.68,382.91830799999997,3
Fitbit Versa 3,Cat3,Apple,26,Good,83.74,Consumer Electronics,1996,528.53,11.04,517.49,3.33,9.76,0.39,9.6,1.4,0.98,1.8,3.31,5.6,801.0828359999999,5
GoPro Hero 9,Cat1,Lenovo,22,Broken,53.99,Consumer Electronics,2015,445.23,17.89,427.34,0.67,9.08,1.76,3.17,1.5,0.4,14.74,2.72,4.42,344.22393200000005,3
LG OLED TV,Cat4,Toshiba,18,Average,83.61,Appliance,2010,532.4,45.91,486.49,3.36,22.23,0.79,6.47,0.97,0.67,8.56,1.23,5.36,602.1799629999999,4
iPad Pro,Cat2,Sony,21,Good,72.91,Appliance,2002,352.51,36.43,316.08,0.73,5.57,2.71,3.59,0.94,0.1,8.7,4.12,4.08,145.71058699999998,4
Toshiba Fire TV,Cat4,Philips,27,Broken,62.42,IT Equipment,2001,380.17,10.02,370.15,2.87,25.45,0.15,7.38,0.38,0.73,3.53,0.34,2.99,580.186519,4
Sony Alpha A7,Cat3,HP,30,Average,87.55,Appliance,2004,551.58,5.46,546.12,4.02,17.61,0.48,0.25,0.3,0.87,10.89,3.29,2.75,712.9345189999999,5
Google Home,Cat3,Apple,2,Broken,54.79,IT Equipment,2015,453.71,6.98,446.73,2.85,38.13,2.43,8.65,1.53,0.22,2.6,3.52,4.83,350.158987,5
Garmin Forerunner,Cat1,Toshiba,30,Good,93.64,Consumer Electronics,2006,506.08,40.94,465.14,3.52,11.5,0.49,1.98,0.3,0.62,10.68,4.11,3.5,545.1922860000001,3
Apple Watch Series 6,Cat1,Samsung,23,Good,79.81,Consumer Electronics,1993,408.07,21.37,386.7,2.26,12.18,1.86,3.71,0.91,0.83,4.07,1.43,1.89,636.773008,3
Lenovo Yoga,Cat4,Apple,4,Broken,66.86,Appliance,1999,379.96,16.33,363.63,2.97,1.19,0.95,0.18,0.71,0.23,4.6,4.36,3.52,316.82242099999996,4
Nest Thermostat,Cat1,Philips,15,Good,94.07,IT Equipment,1990,593.12,41.89,551.23,4.48,38.63,1.43,6.15,1.13,0.31,9.45,1.89,6.14,460.02001899999993,3
Yamaha Receiver,Cat4,Sony,18,Average,59.41,Appliance,2017,498.64,17.65,480.99,0.49,46.18,2.02,2.13,1.45,0.93,5.72,3.69,6.52,636.733224,4
LG OLED TV,Cat1,Lenovo,14,Average,75.89,IT Equipment,1996,380.24,43.33,336.91,2.57,39.59,0.15,9.87,0.79,0.7,6.34,0.84,1.37,570.1443089999999,3
Nikon D850,Cat3,Dell,26,Average,94.53,IT Equipment,2024,520.56,39.92,480.64,4.64,35.89,0.68,5.98,0.79,0.94,1.1,1.64,3.18,809.8010689999999,5
DJI Mavic Air 2,Cat1,Samsung,23,Broken,69.66,Consumer Electronics,2014,423.38,31.45,391.93,0.17,16.65,2.18,7.47,1.77,0.18,11.97,2.27,6.63,208.49396700000003,3
Pixel 5,Cat1,Philips,26,Good,67.28,Consumer Electronics,2017,504.74,5.49,499.25,4.51,15.4,2.42,5.82,1.59,0.24,9.65,1.51,0.88,446.009946,3
Dell XPS 13,Cat3,Panasonic,23,Broken,68.38,Appliance,2023,299.48,31.33,268.15,2.12,8.15,0.44,8.72,0.41,0.57,2.89,4.57,0.67,453.21955699999995,5
ThinkPad X1,Cat4,Panasonic,19,Good,70.72,IT Equipment,2010,380.5,14.25,366.25,0.7,15.44,2.07,1.76,1.42,0.41,7.23,2.46,4.48,347.23128599999995,4
Galaxy S21,Cat2,Philips,17,Average,62.06,IT Equipment,1998,461.57,20.61,440.96,1.27,32.91,2.39,2.71,1.93,0.62,5.59,2.04,4.91,523.136149,4
iPad Pro,Cat1,Philips,3,Average,77.2,Consumer Electronics,1994,357.29,40.95,316.34,1.33,46.71,2.23,5.81,1.13,0.24,3.89,4.14,3.43,265.29062899999997,3
Samsung Blu-ray Player,Cat1,Panasonic,6,Average,93.3,Appliance,2023,441.18,12.4,428.78,3.21,31.39,1.73,5.17,1.34,0.6,1.59,3.8,2.21,574.720305,3
Surface Laptop 4,Cat4,Dell,19,Good,59.81,Appliance,2003,463.64,47.48,416.16,4.09,35.97,2.23,8.35,0.33,0.2,4.3,4.23,3.35,335.105593,4
Galaxy S21,Cat1,Philips,9,Good,82.34,IT Equipment,2001,437.8,6.48,431.32,1.89,21.32,1.55,5.17,0.38,0.77,11.02,2.02,1.98,555.7763019999999,3
Oculus Quest 2,Cat1,Sony,13,Broken,61.6,Consumer Electronics,2017,444.61,19.77,424.84,2.21,17.2,0.92,2.65,1.79,0.16,8.8,4.66,4.95,297.46263600000003,3
Surface Laptop 4,Cat1,LG,18,Broken,75.09,Consumer Electronics,1992,369.52,44.49,325.03,4.21,0.43,0.88,6.44,0.36,0.43,2.09,1.34,1.43,473.260699,3
Samsung Blu-ray Player,Cat4,HP,17,Broken,54.12,Consumer Electronics,2005,286.98,36.55,250.43,2.37,3.45,2.47,4.92,1.91,0.08,1.02,1.54,0.61,266.16745899999995,4
Panasonic Viera,Cat1,HP,9,Broken,81.42,Consumer Electronics,2011,387.45,24.84,362.61,1.25,29.94,2.29,4.75,1.56,0.4,10.55,3.56,0.55,375.86573599999997,3
LG Sound Bar,Cat4,LG,19,Average,81.4,Appliance,2016,292.05,33.22,258.83,0.91,11.12,0.73,4.01,0.96,0.66,4.63,2.88,1.24,475.02267800000004,4
Garmin Forerunner,Cat3,Dell,4,Average,80.83,Appliance,1991,468.62,27.15,441.47,0.96,21.78,0.56,8.33,1.56,0.66,14.43,2.57,4.17,509.98135199999996,5
HP Spectre,Cat1,LG,13,Good,76.46,Appliance,1993,275.21,46.67,228.54,0.27,44.44,0.64,8.66,1.02,0.34,1.24,2.47,5.4,263.82052200000004,3
Bose SoundLink,Cat3,Lenovo,24,Broken,76.77,IT Equipment,2017,303.01,40.73,262.28,0.98,46.43,2.01,0.91,0.57,0.47,5.92,2.82,0.55,349.46593700000005,5
Apple TV 4K,Cat4,Samsung,4,Average,73.98,Appliance,1993,336.77,40.62,296.15,0.46,24.55,1.19,1.41,0.19,0.71,8.65,3.37,2.29,440.770627,4
DJI Mavic Air 2,Cat1,Apple,8,Good,77.05,Appliance,2017,338.62,20.77,317.85,0.25,4.54,1.38,3.75,1.55,0.22,13.41,0.75,3.45,222.74278,3
iPhone 12,Cat1,Philips,5,Broken,82.36,Consumer Electronics,2004,487.89,10.25,477.64,2.36,28.71,2.19,1.1,0.86,0.04,12.88,4.02,5.39,187.08993699999996,3
ThinkPad X1,Cat3,Sony,24,Good,69.59,Appliance,2016,247.69,45.89,201.8,0.71,49.93,2.7,3.31,1.13,0.25,2.45,2.37,0.21,240.45610699999997,5
Roku Ultra,Cat4,Samsung,30,Good,82.39,Consumer Electronics,2011,547.76,25.38,522.38,2.69,0.77,2.06,9.37,1.63,0.19,11.71,4.5,6.45,330.466945,4
LG Sound Bar,Cat3,Lenovo,24,Good,58.85,Appliance,2001,384.95,18.63,366.32,1.98,15.38,0.66,1.18,1.24,0.24,10.94,4.44,2.17,302.125774,5
Apple TV 4K,Cat2,Apple,8,Good,90.46,IT Equipment,2024,648.95,33.02,615.93,2.89,39.1,2.76,4.22,1.9,0.56,13.19,1.87,6.36,567.231272,4
Sony Bravia TV,Cat1,Philips,2,Good,64.29,Appliance,2024,441.93,8.06,433.87,4.74,9.5,1.52,7.02,1.4,0.12,5.99,2.31,1.12,377.829136,3
Sony Bravia TV,Cat1,Apple,28,Broken,71.52,Consumer Electronics,2018,499.12,40.77,458.35,3.98,28.96,2.32,5.7,1.41,0.1,13.96,2.65,0.42,330.11348999999996,3
Apple Watch Series 6,Cat4,Panasonic,23,Average,91.58,Appliance,2010,357.75,39.07,318.68,1.21,13.57,2.65,4.17,0.62,0.27,14.84,0.76,0.49,249.21227100000004,4
GoPro Hero 9,Cat4,Panasonic,12,Broken,65.3,IT Equipment,1992,575.2,31.7,543.5,4.76,11.56,2.07,8.84,0.92,0.81,5.88,0.25,3.4,748.97198,4
Oculus Quest 2,Cat3,HP,16,Average,78.25,Consumer Electronics,2024,279.12,27.41,251.71,1.76,21.84,2.32,5.21,1.24,0.1,5.04,2.27,0.02,211.724342,5
Sony WH-1000XM4,Cat1,LG,5,Broken,86.16,Appliance,2005,519.57,21.03,498.54,3.51,33.36,1.25,9.98,1.42,0.73,3.62,2.13,4.44,668.188948,3
Yamaha Receiver,Cat2,LG,13,Average,87.24,Consumer Electronics,2004,523.05,33.1,489.95,1.76,1.92,1.96,8.77,0.48,0.83,14.34,4.83,3.12,589.525278,4
Galaxy Note 20,Cat2,Lenovo,16,Broken,74.12,IT Equipment,1994,587.28,13.2,574.08,3.77,49.59,2.5,6.55,0.7,0.64,9.55,1.51,4.28,591.6300610000001,4
iPad Pro,Cat1,Dell,10,Good,84.05,IT Equipment,1991,378.28,20.2,358.08,2.86,1.16,2.65,1.34,1.65,0.01,4.71,4.71,1.62,236.514296,3
PS5,Cat1,Sony,26,Average,65.74,Appliance,1995,664.98,16.2,648.78,3.47,39.82,1.17,7.82,1.34,0.99,10.55,2.37,6.38,811.182742,3
Harman Kardon Speaker,Cat2,Philips,3,Average,92.3,Consumer Electronics,2014,607.03,45.77,561.26,4.4,37.42,1.79,2.83,1.27,0.81,6.74,4.4,3.04,749.9920200000001,4
Pioneer AV Receiver,Cat4,Philips,12,Average,67.01,Appliance,2016,520.58,9.1,511.48,2.7,23.99,2.45,7.69,1.14,0.81,0.15,3.85,6.14,660.0407350000002,4
GoPro Hero 9,Cat4,Samsung,26,Good,81.28,Consumer Electronics,2019,308.0,10.64,297.36,0.1,23.06,0.39,0.48,1.89,0.49,3.83,3.74,4.16,387.770504,4
iPad Pro,Cat4,Lenovo,12,Broken,87.75,Appliance,2004,472.38,43.76,428.62,4.41,3.9,1.44,2.04,0.95,0.08,4.89,2.09,5.37,314.92760400000003,4
Fitbit Versa 3,Cat3,Dell,30,Broken,88.2,Appliance,2013,583.06,20.37,562.69,3.75,20.39,2.44,1.41,0.98,0.2,13.14,2.76,5.56,353.623791,5
