Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($)
Audio Equipment,Cat4,7.96,5.95,7.28,6.08,0.75,1.93,6.31,2.58,5.63,784.65
Microwave Oven,Cat2,8.03,0.82,3.79,1.37,5.5,2.5,6.44,7.59,5.33,598.23
Iron,Cat2,5.53,6.28,0.64,2.01,5.08,1.92,4.38,2.03,2.95,309.72
Air Conditioner,Cat1,3.64,8.56,6.78,1.89,4.02,8.15,1.61,1.19,9.28,547.25
TV,Cat4,9.79,7.29,5.55,8.69,2.94,0.49,1.47,8.14,1.08,782.64
Monitor,Cat4,9.97,7.46,3.26,0.63,3.52,3.19,6.44,4.66,9.64,668.94
Laptop,Cat3,4.37,1.49,1.81,1.23,9.37,4.22,8.74,4.67,7.17,312.77
iPhone 11,Cat3,0.58,9.47,5.53,9.49,3.75,5.41,0.81,4.13,9.58,330.38
Laptop,Cat3,0.65,8.22,4.3,1.46,5.89,6.38,8.96,1.17,7.0,267.25
Tablet,Cat3,7.35,2.3,4.19,8.19,8.85,2.08,5.36,3.09,7.98,587.13
Microwave Oven,Cat2,9.2,9.52,1.3,1.07,9.99,6.37,8.26,3.02,1.01,527.42
Stove,Cat1,4.13,8.21,7.66,2.67,7.2,6.89,0.32,4.74,7.59,618.3
Tablet,Cat3,1.72,5.91,3.85,2.93,3.43,2.47,8.82,7.5,6.79,294.28
Iron,Cat2,5.97,8.35,6.91,8.97,2.55,8.08,8.75,3.52,2.49,668.56
iPhone 11,Cat3,2.72,2.13,6.01,4.59,2.54,9.58,5.49,6.83,7.62,457.11
TV,Cat4,1.59,1.03,7.08,4.95,4.43,8.61,5.62,4.89,6.49,458.29
Microwave Oven,Cat2,7.18,3.35,4.91,6.15,1.48,8.08,5.11,4.53,3.42,617.97
Fridge,Cat1,3.51,9.42,1.32,7.21,9.33,8.37,1.92,9.92,5.12,248.88
iPhone 11,Cat3,8.46,8.62,5.72,3.49,3.27,3.44,1.17,0.5,1.66,727.22
Microwave Oven,Cat2,3.41,6.21,3.91,4.57,5.1,0.89,1.27,4.69,9.73,380.7
Laptop,Cat3,2.08,6.42,3.73,4.12,9.2,0.56,7.97,0.94,9.46,305.88
Microwave Oven,Cat2,3.08,5.56,4.92,8.54,1.03,2.54,6.4,8.28,8.62,418.2
Microwave Oven,Cat2,9.18,0.63,9.99,2.38,8.69,1.0,7.53,6.79,9.09,986.84
Laptop,Cat3,7.73,5.01,4.13,8.3,9.35,9.47,4.6,8.96,8.4,604.29
TV,Cat4,1.95,9.1,6.91,4.49,3.47,0.36,8.57,0.47,7.62,471.33
Vacuum Cleaner,Cat2,2.69,5.26,5.26,4.84,9.16,2.97,1.27,1.97,2.88,417.21
Toaster,Cat2,2.4,0.97,6.54,1.42,9.44,9.61,1.18,9.62,7.71,469.21
iPhone 11,Cat3,8.53,8.68,4.35,4.02,5.68,8.61,2.97,9.33,6.8,657.42
Washing Machine,Cat1,2.19,8.17,9.88,1.96,8.59,2.39,1.89,5.82,7.52,641.83
Tablet,Cat3,2.56,7.39,9.23,6.16,7.72,6.85,1.24,7.16,4.37,624.81
Fridge,Cat1,0.13,4.65,5.86,6.87,4.77,8.54,0.66,2.13,9.01,323.26
TV,Cat4,2.16,6.36,2.1,6.82,2.72,7.49,0.29,5.32,4.74,222.48
Iron,Cat2,2.35,9.26,5.28,8.4,8.37,2.78,1.03,9.13,9.43,403.85
Iron,Cat2,9.54,1.82,9.58,2.91,8.98,7.68,5.39,9.54,8.7,983.37
Washing Machine,Cat1,9.45,3.24,2.22,6.49,9.19,4.71,2.57,6.63,6.74,585.36
Audio Equipment,Cat4,3.41,1.11,3.75,3.53,1.92,8.11,6.58,9.27,8.02,369.3
Tablet,Cat3,4.63,5.83,0.5,3.93,3.59,9.47,2.48,3.05,4.3,257.86
Tablet,Cat3,5.93,7.26,1.68,9.59,5.56,9.78,0.39,9.5,2.97,385.81
Laptop,Cat3,1.27,6.37,7.73,8.61,8.78,2.92,0.83,4.26,5.58,480.41
TV,Cat4,1.77,0.86,3.07,8.69,2.08,6.49,8.65,2.66,1.18,252.11
Smartphone,Cat3,8.9,2.14,0.9,3.28,3.81,1.32,2.69,2.5,1.03,486.84
Toaster,Cat2,8.0,3.32,6.28,3.28,7.61,7.54,6.98,5.17,3.72,731.73
iPhone 11,Cat3,4.56,4.89,1.94,8.47,0.42,9.59,7.69,1.37,6.66,330.99
TV,Cat4,4.83,1.38,0.13,2.14,1.0,2.95,9.03,8.84,8.34,245.15
iPhone 11,Cat3,9.99,7.08,4.21,1.56,6.93,9.47,2.59,0.47,5.34,720.77
Washing Machine,Cat1,1.84,8.32,0.18,9.05,8.91,7.62,3.12,4.14,6.39,105.09
Washing Machine,Cat1,7.65,7.54,7.6,1.93,4.53,5.63,0.76,9.41,7.3,787.59
Air Conditioner,Cat1,0.42,2.48,3.92,6.42,6.43,2.55,3.94,6.62,0.58,232.23
Smartphone,Cat3,0.41,6.38,7.98,7.23,5.82,7.25,1.42,1.71,5.37,451.59
Audio Equipment,Cat4,0.27,8.15,1.54,9.68,9.87,5.58,9.79,1.78,7.47,100.69
Air Conditioner,Cat1,8.39,5.21,6.33,8.06,3.49,4.11,6.64,8.43,9.83,754.53
Audio Equipment,Cat4,2.24,9.84,3.07,3.64,5.05,6.55,3.68,6.82,3.69,280.39
Stove,Cat1,0.46,3.45,3.29,4.35,0.18,6.88,0.41,7.08,0.68,200.99
Stove,Cat1,9.94,7.14,4.55,6.59,5.22,7.37,5.8,7.03,0.57,736.51
Toaster,Cat2,2.72,2.66,1.2,8.7,1.6,0.74,8.13,7.35,9.2,199.51
iPhone 11,Cat3,4.89,1.52,8.23,0.13,0.8,2.18,0.35,3.69,3.28,682.17
Washing Machine,Cat1,8.24,7.89,6.49,0.27,8.09,4.48,9.02,0.21,3.07,757.34
TV,Cat4,4.34,3.58,1.6,7.13,4.51,7.0,5.59,4.15,7.72,301.22
Washing Machine,Cat1,8.51,1.82,8.13,5.26,8.33,2.23,9.2,8.79,3.18,854.96
Monitor,Cat4,3.19,0.88,9.05,2.59,4.39,5.55,8.7,3.47,6.43,642.32
Tablet,Cat3,1.59,8.25,0.51,8.84,3.85,4.87,6.75,4.41,5.56,110.32
Tablet,Cat3,7.98,5.17,8.8,2.97,1.92,9.1,2.6,3.66,4.58,866.78
Fridge,Cat1,8.96,2.26,8.35,6.23,7.98,8.67,1.05,7.97,8.15,889.23
Iron,Cat2,8.61,4.1,9.92,1.77,2.0,9.87,2.4,7.8,8.04,957.15
Audio Equipment,Cat4,8.64,5.21,5.89,8.36,1.39,2.05,7.09,2.89,9.46,743.17
Toaster,Cat2,8.65,9.3,2.2,6.44,3.8,0.55,5.28,0.6,7.6,548.3
Audio Equipment,Cat4,4.61,0.85,9.76,7.33,9.85,7.69,4.02,2.2,3.99,750.24
Speaker,Cat4,6.82,2.43,4.79,4.96,0.45,3.62,1.7,9.24,8.16,593.23
Toaster,Cat2,6.68,2.75,5.24,3.84,7.1,7.89,7.32,4.39,0.26,610.81
Tablet,Cat3,2.38,9.61,1.75,2.81,5.39,6.63,3.58,1.25,9.15,216.42
Air Conditioner,Cat1,1.59,1.68,5.54,3.04,4.73,5.0,1.91,8.78,5.43,376.09
Microwave Oven,Cat2,2.54,0.44,7.84,3.92,8.72,3.88,2.36,9.42,9.11,545.33
Laptop,Cat3,1.13,5.72,0.17,9.71,6.58,4.63,8.1,0.63,1.08,68.09
Stove,Cat1,5.97,4.08,0.66,9.06,0.36,8.5,4.87,2.9,4.64,331.21
Fridge,Cat1,2.39,9.64,3.15,4.32,4.53,1.36,2.49,2.28,5.73,291.83
Smartphone,Cat3,1.56,7.04,0.86,3.88,1.37,5.81,9.88,8.34,4.88,126.89
Microwave Oven,Cat2,4.3,1.51,6.17,0.74,8.94,5.9,0.51,1.36,8.68,542.98
Laptop,Cat3,9.0,1.67,8.23,6.74,1.1,2.94,6.31,4.7,9.17,884.22
TV,Cat4,2.42,8.68,5.05,2.26,2.0,3.51,0.79,2.64,4.56,394.56
iPhone 11,Cat3,1.35,1.94,5.91,1.62,1.67,1.27,7.02,0.37,4.09,384.16
Audio Equipment,Cat4,5.86,4.95,2.5,5.32,7.7,9.04,4.82,6.31,0.13,425.0
Fridge,Cat1,8.36,9.07,9.21,2.32,9.1,7.59,7.44,3.01,8.63,909.72
Audio Equipment,Cat4,2.21,1.07,3.89,8.06,7.83,5.14,3.33,3.25,7.85,317.84
Washing Machine,Cat1,0.44,6.21,4.18,7.41,1.93,0.97,4.15,3.4,0.64,249.19
Audio Equipment,Cat4,0.7,1.14,1.49,5.14,5.4,3.3,7.0,2.5,6.96,115.02
iPhone 11,Cat3,1.93,9.57,1.56,9.59,9.29,4.01,3.36,9.94,4.52,184.11
Washing Machine,Cat1,6.31,1.82,1.24,10.0,2.49,0.91,7.54,4.37,4.74,377.58
Tablet,Cat3,5.53,1.13,8.23,1.91,2.32,5.21,8.84,5.26,3.66,713.47
iPhone 11,Cat3,5.85,8.3,8.37,5.22,3.52,3.39,3.57,6.05,3.14,740.79
Iron,Cat2,1.97,1.8,8.82,0.76,7.38,6.94,3.95,9.29,9.17,570.65
Vacuum Cleaner,Cat2,3.98,0.18,2.64,9.03,0.41,6.77,0.31,8.06,4.35,337.25
Air Conditioner,Cat1,0.88,0.41,0.41,4.91,3.34,4.76,9.42,6.11,6.87,65.58
iPhone 11,Cat3,4.42,9.02,8.57,0.15,4.89,0.82,8.52,5.57,8.1,681.62
Laptop,Cat3,9.73,8.89,2.71,8.06,3.53,6.88,7.08,9.23,3.92,628.57
iPhone 11,Cat3,6.9,4.85,3.33,6.9,1.71,0.91,2.12,6.09,2.63,520.28
TV,Cat4,7.04,8.64,1.78,1.48,3.84,5.73,8.49,3.98,4.92,446.4
Audio Equipment,Cat4,3.27,5.42,3.06,4.86,5.0,5.34,1.77,3.95,5.37,327.91
Stove,Cat1,7.02,0.16,5.89,7.1,7.21,0.51,0.31,3.61,8.16,660.73
TV,Cat4,2.81,3.33,6.29,0.59,0.93,0.36,7.26,4.26,9.04,477.02
Speaker,Cat4,6.9,4.97,0.76,5.67,6.93,2.5,0.49,4.19,7.09,382.75
Monitor,Cat4,3.34,1.37,4.76,8.0,5.94,6.99,3.09,4.4,4.0,420.16
Stove,Cat1,8.71,8.02,2.55,9.12,9.67,0.99,8.63,2.16,8.66,569.36
Washing Machine,Cat1,1.57,7.39,3.21,7.47,0.67,1.68,8.75,9.46,2.93,253.41
Audio Equipment,Cat4,3.91,7.81,3.01,5.86,1.13,1.28,3.66,2.63,8.03,357.92
iPhone 11,Cat3,7.36,9.75,8.47,7.83,0.79,0.1,3.07,3.56,1.76,821.07
Vacuum Cleaner,Cat2,8.0,3.67,8.91,9.47,4.58,4.11,5.3,4.47,3.72,872.74
Stove,Cat1,9.15,0.23,3.98,5.79,4.84,1.79,2.94,0.78,4.51,663.08
Fridge,Cat1,2.34,5.37,2.84,8.66,5.37,1.13,2.66,3.82,9.42,270.32
Tablet,Cat3,4.48,7.36,2.07,5.87,5.47,4.67,8.65,4.69,3.34,335.42
Monitor,Cat4,3.41,0.34,9.97,3.71,2.38,0.48,1.31,3.43,4.97,701.99
Fridge,Cat1,4.13,4.66,1.91,2.28,2.99,7.49,6.38,7.04,6.45,308.12
Air Conditioner,Cat1,3.32,1.38,7.55,1.84,8.74,9.04,1.35,3.64,7.76,568.75
Fridge,Cat1,7.35,3.73,7.89,4.52,2.51,8.78,8.81,1.4,9.62,786.24
Vacuum Cleaner,Cat2,9.78,5.71,6.41,1.03,7.97,0.65,1.34,8.41,5.98,827.4
Washing Machine,Cat1,2.04,6.56,7.15,6.94,1.5,8.06,7.76,5.82,6.83,487.27
Washing Machine,Cat1,5.9,1.4,8.61,7.03,3.53,1.47,8.25,1.32,1.87,752.11
Fridge,Cat1,3.75,0.84,3.55,9.12,3.37,7.23,9.0,3.75,5.91,375.14
Laptop,Cat3,6.78,2.57,3.1,4.78,9.09,5.81,6.03,8.79,7.59,500.95
Iron,Cat2,3.34,2.99,5.74,3.89,7.3,4.26,2.99,2.4,4.83,473.56
Air Conditioner,Cat1,3.6,7.83,6.97,9.94,3.04,4.05,7.8,1.08,8.03,554.95
Washing Machine,Cat1,5.46,5.95,3.42,6.57,3.66,6.32,2.48,7.67,5.26,455.11
Stove,Cat1,8.97,4.19,1.2,6.26,3.62,8.52,2.72,0.54,3.22,507.66
Microwave Oven,Cat2,3.58,7.76,9.0,0.58,0.36,6.82,4.2,0.73,1.0,662.71
Toaster,Cat2,9.47,4.85,6.88,9.78,5.54,6.14,6.18,1.49,0.68,836.93
Laptop,Cat3,9.75,3.16,5.27,2.98,8.31,4.5,5.99,3.11,7.44,763.46
Smartphone,Cat3,8.45,1.03,5.74,3.07,8.66,5.12,9.48,2.78,3.72,723.56
TV,Cat4,6.55,1.86,0.51,2.84,9.27,2.43,1.0,9.94,2.09,350.41
Laptop,Cat3,3.83,0.45,5.33,6.75,4.68,8.23,2.9,9.25,8.79,474.25
Fridge,Cat1,1.81,1.68,4.68,2.2,6.45,1.62,2.31,5.52,9.25,340.78
Stove,Cat1,4.51,1.4,2.09,2.84,3.82,4.79,1.47,2.36,4.3,334.53
Fridge,Cat1,7.57,3.11,1.32,4.42,0.97,6.93,9.72,3.17,6.14,444.61
Laptop,Cat3,3.6,8.6,6.74,5.06,0.9,7.72,3.96,1.74,0.64,543.11
Tablet,Cat3,7.87,2.58,6.73,7.18,9.9,8.74,7.56,3.4,0.43,749.08
Speaker,Cat4,3.52,5.82,3.95,7.73,1.57,7.16,9.29,0.94,7.35,388.09
Speaker,Cat4,4.21,2.49,8.95,5.04,6.91,4.94,2.14,9.83,5.29,688.03
Air Conditioner,Cat1,5.94,6.2,6.72,5.86,8.5,0.61,9.04,2.82,7.52,655.62
Iron,Cat2,3.4,9.21,8.12,9.55,7.82,6.95,4.03,3.43,0.35,607.66
TV,Cat4,7.07,8.84,8.66,7.44,4.84,5.13,8.07,6.86,6.82,816.63
Toaster,Cat2,7.56,4.09,2.25,2.59,8.56,5.39,1.45,6.61,5.16,494.59
Washing Machine,Cat1,0.51,4.91,5.8,8.93,4.43,6.6,4.05,5.63,8.03,338.83
Iron,Cat2,1.03,2.48,1.16,5.32,4.58,6.7,6.01,3.66,0.21,114.37
Iron,Cat2,0.35,3.9,6.87,2.66,0.66,0.27,0.26,3.52,9.39,387.55
Smartphone,Cat3,6.78,2.33,4.57,8.93,5.73,9.07,2.1,9.22,7.24,579.59
Washing Machine,Cat1,3.07,4.23,1.1,6.52,5.53,7.25,6.64,2.74,2.47,212.42
Vacuum Cleaner,Cat2,8.48,8.44,8.72,5.09,5.52,9.61,7.78,3.9,6.39,888.99
Tablet,Cat3,4.15,8.46,5.17,7.16,6.54,4.39,1.91,9.04,7.45,485.95
Audio Equipment,Cat4,6.58,6.55,8.36,2.91,5.98,3.81,2.73,8.41,6.06,775.16
Smartphone,Cat3,9.31,4.15,8.63,4.94,3.44,7.14,6.11,2.19,7.27,922.42
Smartphone,Cat3,6.86,1.25,1.77,6.24,7.26,8.51,4.25,7.97,3.51,432.89
Stove,Cat1,9.82,7.27,5.46,5.53,8.57,4.73,3.98,7.44,3.09,779.44
Speaker,Cat4,4.69,6.39,3.82,2.23,4.37,6.96,2.44,0.8,7.62,438.98
Stove,Cat1,4.91,9.34,9.14,4.14,3.45,2.97,7.28,7.33,6.66,736.44
TV,Cat4,9.34,0.13,4.35,8.24,0.48,1.17,9.23,6.02,9.74,692.11
Audio Equipment,Cat4,8.83,8.94,7.95,4.44,4.54,7.91,8.13,0.91,3.88,865.17
Vacuum Cleaner,Cat2,6.16,3.79,7.68,1.56,1.69,2.14,7.04,9.81,2.06,716.41
Vacuum Cleaner,Cat2,9.45,7.71,8.15,7.15,4.87,1.98,4.08,2.62,0.66,905.54
Vacuum Cleaner,Cat2,5.91,3.12,7.05,6.48,5.26,8.49,9.39,2.56,1.26,670.16
TV,Cat4,6.41,8.23,7.44,0.91,3.63,6.34,9.38,9.7,7.93,718.49
Vacuum Cleaner,Cat2,9.91,4.27,6.29,8.85,8.54,6.21,1.45,3.25,0.26,826.64
iPhone 11,Cat3,1.79,3.15,2.35,7.45,3.18,0.68,1.96,0.12,7.2,215.73
Fridge,Cat1,1.58,4.05,8.77,9.33,3.75,2.25,8.71,7.47,5.72,549.96
Iron,Cat2,5.61,6.42,3.72,2.81,7.01,3.37,5.8,1.36,6.32,478.81
Smartphone,Cat3,1.53,9.06,0.11,3.49,4.64,1.6,5.88,6.94,9.04,86.36
Stove,Cat1,8.16,1.26,2.23,7.51,3.72,6.92,2.33,8.53,3.73,521.34
Washing Machine,Cat1,7.0,1.17,3.63,1.36,9.63,2.76,2.31,7.52,3.66,539.31
Washing Machine,Cat1,7.2,4.47,7.85,6.58,7.6,6.89,9.92,8.97,5.81,777.19
TV,Cat4,6.43,1.98,3.08,5.61,2.55,7.8,4.15,8.37,0.39,482.29
Vacuum Cleaner,Cat2,8.55,6.41,3.39,1.74,1.32,6.33,7.39,0.16,2.29,605.56
iPhone 11,Cat3,7.02,8.41,0.34,4.81,0.33,5.32,1.86,0.13,0.77,368.07
Toaster,Cat2,2.48,6.63,3.99,1.92,3.93,7.12,6.56,3.63,6.63,339.63
Stove,Cat1,7.64,5.21,8.9,1.56,0.76,4.61,9.27,5.02,4.97,855.35
iPhone 11,Cat3,1.69,6.76,6.52,5.17,0.25,1.27,2.77,9.66,0.55,436.29
Smartphone,Cat3,9.7,8.39,0.54,1.36,2.2,7.54,5.04,0.86,2.11,510.53
Audio Equipment,Cat4,1.95,3.09,2.2,1.46,9.34,2.6,6.54,9.79,1.24,215.64
Iron,Cat2,9.98,7.54,4.03,3.65,0.99,9.66,6.91,0.68,0.73,710.82
Air Conditioner,Cat1,1.05,8.37,4.94,2.9,2.01,6.06,9.79,7.37,6.49,321.22
Iron,Cat2,6.84,5.1,3.68,5.18,2.89,0.75,0.38,6.91,6.7,536.25
iPhone 11,Cat3,0.47,0.93,5.89,3.84,5.4,9.78,6.07,6.88,5.14,339.48
Microwave Oven,Cat2,2.47,2.86,5.61,7.48,8.98,9.02,0.99,7.56,1.9,423.89
Tablet,Cat3,0.84,4.59,9.24,3.96,9.06,9.19,7.91,6.32,9.65,539.29
Washing Machine,Cat1,5.97,4.87,2.55,0.76,1.07,6.8,2.69,2.22,6.37,432.91
Tablet,Cat3,3.32,6.62,10.0,4.3,0.71,7.48,5.47,3.57,4.8,702.88
Audio Equipment,Cat4,9.46,0.19,4.49,6.49,4.25,2.76,1.0,2.66,9.41,705.62
Air Conditioner,Cat1,4.64,4.66,9.29,6.71,1.27,5.74,2.12,5.57,8.28,728.55
Washing Machine,Cat1,4.0,6.0,9.12,9.69,3.45,1.33,1.22,1.16,9.74,688.71
Washing Machine,Cat1,9.24,1.71,3.3,1.69,9.49,6.13,1.31,1.86,8.14,632.06
Vacuum Cleaner,Cat2,5.26,5.87,1.37,3.45,4.15,5.05,8.87,8.67,9.14,335.38
Air Conditioner,Cat1,9.73,6.98,3.31,3.04,4.63,9.21,9.94,0.12,8.9,659.68
TV,Cat4,5.41,4.37,2.78,6.91,8.49,1.63,5.79,5.89,2.8,417.43
Microwave Oven,Cat2,4.19,1.41,6.5,7.29,9.64,4.95,6.18,7.0,2.54,555.19
Tablet,Cat3,0.46,1.09,3.07,1.68,8.56,6.81,1.27,0.91,5.28,187.97
Washing Machine,Cat1,8.54,1.92,0.17,3.41,6.26,5.96,8.98,6.57,2.17,430.03
Toaster,Cat2,7.4,7.23,3.72,9.49,7.23,1.05,9.24,6.4,0.49,567.19
Tablet,Cat3,0.94,3.23,7.69,0.34,9.52,2.75,0.36,8.54,2.93,460.26
Smartphone,Cat3,3.76,8.39,4.41,1.15,1.72,2.3,5.72,5.72,7.98,425.92
Stove,Cat1,3.66,9.37,7.65,5.29,2.0,9.94,1.82,3.67,2.25,595.31
Tablet,Cat3,5.6,9.97,2.14,2.47,6.59,1.31,6.87,2.4,9.63,395.65
iPhone 11,Cat3,1.94,0.18,3.88,1.54,6.27,2.98,1.31,0.84,4.64,303.46
TV,Cat4,4.11,0.68,9.6,0.13,3.52,7.99,5.2,0.43,7.79,716.91
Toaster,Cat2,7.59,3.7,6.28,1.94,8.09,6.12,1.08,0.33,7.62,711.78
Fridge,Cat1,0.36,8.67,5.23,7.71,1.52,7.35,9.34,6.13,5.44,303.04
Washing Machine,Cat1,3.89,1.06,7.3,9.66,9.17,1.08,0.67,9.77,7.42,583.04
Monitor,Cat4,5.75,5.05,3.97,1.07,3.32,6.59,4.03,5.47,3.55,498.31
Stove,Cat1,6.75,0.21,6.91,4.78,7.0,5.59,5.22,1.31,0.92,702.24
Stove,Cat1,7.51,1.95,0.65,2.26,7.51,9.34,2.8,7.54,4.01,405.24
TV,Cat4,1.84,5.28,1.84,3.72,0.44,8.44,4.62,2.56,2.35,192.19
Fridge,Cat1,6.33,4.62,2.83,0.43,2.21,5.74,1.81,0.68,2.97,465.45
Speaker,Cat4,1.28,3.07,0.74,5.38,1.89,0.75,5.41,9.69,5.02,104.34
TV,Cat4,1.99,3.36,1.41,2.9,8.07,3.8,1.19,3.91,2.04,175.44
Washing Machine,Cat1,3.87,9.77,1.23,3.45,4.07,5.93,3.84,0.26,1.57,261.83
Speaker,Cat4,0.77,0.33,7.69,3.83,0.86,6.44,4.54,8.78,4.09,450.19
Speaker,Cat4,7.74,2.63,2.64,1.16,3.23,7.04,7.12,4.8,0.62,523.45
Monitor,Cat4,2.96,3.53,1.34,5.46,5.58,7.36,2.18,2.15,2.62,219.48
Vacuum Cleaner,Cat2,8.67,0.48,2.55,5.65,7.29,2.4,2.13,0.73,8.64,563.06
Speaker,Cat4,0.95,6.46,7.32,9.85,3.34,7.43,5.21,7.21,9.46,442.78
Washing Machine,Cat1,7.69,5.35,8.97,7.29,0.77,6.3,0.63,8.34,3.33,861.67
Monitor,Cat4,3.86,7.53,6.86,0.69,5.06,8.87,0.18,5.63,5.29,561.78
TV,Cat4,5.36,8.02,6.46,5.54,6.38,5.87,6.06,2.21,1.12,614.3
Stove,Cat1,7.52,0.14,4.42,4.96,7.02,9.47,8.57,0.35,0.1,606.69
Washing Machine,Cat1,0.51,6.64,2.49,1.42,9.03,4.0,3.54,3.83,9.17,162.48
Fridge,Cat1,3.94,4.66,2.63,0.97,8.88,9.01,0.64,8.41,0.28,337.48
TV,Cat4,4.25,7.84,0.33,2.68,7.08,0.63,7.28,9.69,1.2,231.11
iPhone 11,Cat3,6.78,5.67,6.15,2.51,7.63,7.63,0.47,0.8,4.01,666.16
Toaster,Cat2,5.01,5.28,6.64,1.48,2.08,2.57,9.76,4.5,3.22,605.05
Tablet,Cat3,4.74,2.12,6.46,7.63,0.14,6.72,8.9,6.49,1.48,580.38
Speaker,Cat4,7.17,6.76,4.59,3.09,9.63,5.84,9.42,7.67,4.52,602.36
Smartphone,Cat3,9.28,2.35,7.78,7.4,9.2,7.52,4.06,9.68,8.71,874.46
Vacuum Cleaner,Cat2,2.84,9.6,0.97,6.11,1.81,6.5,0.2,7.34,1.75,197.17
iPhone 11,Cat3,5.36,4.51,4.93,4.69,2.93,9.99,1.27,3.22,3.81,530.33
Audio Equipment,Cat4,0.3,8.18,8.8,0.39,8.88,7.87,8.49,9.7,0.57,491.21
Tablet,Cat3,3.28,1.81,7.98,0.8,4.27,0.77,0.68,3.74,5.2,589.85
Stove,Cat1,8.95,9.91,5.03,8.74,6.72,1.33,2.76,7.86,6.23,715.08
Washing Machine,Cat1,7.62,6.62,7.35,7.28,3.11,8.18,0.76,5.03,0.45,772.23
Washing Machine,Cat1,8.87,7.44,3.86,7.16,9.05,5.55,9.68,3.0,2.96,647.15
Toaster,Cat2,7.5,2.86,1.02,6.98,8.56,9.11,0.79,6.95,1.21,425.1
TV,Cat4,8.15,6.39,0.86,1.1,0.44,7.27,6.24,5.4,9.85,450.34
Audio Equipment,Cat4,8.77,7.02,3.06,1.19,7.13,8.06,5.39,9.78,4.18,599.15
TV,Cat4,3.05,5.58,8.16,0.56,6.81,8.93,4.75,7.97,9.5,590.54
Laptop,Cat3,1.97,4.96,5.71,5.58,7.07,0.72,9.02,5.74,1.59,405.7
Speaker,Cat4,1.24,6.27,9.7,9.78,8.23,1.17,5.14,0.22,7.62,584.39
TV,Cat4,8.16,5.42,1.24,9.49,1.51,2.09,0.95,8.7,5.11,470.56
Microwave Oven,Cat2,3.04,1.99,3.76,6.13,2.56,2.24,2.43,6.9,1.38,352.06
iPhone 11,Cat3,7.88,4.16,1.17,0.15,6.66,5.89,8.96,7.23,6.41,452.47
Fridge,Cat1,6.93,3.87,7.21,7.65,1.18,6.95,1.87,2.83,6.99,729.19
Fridge,Cat1,4.63,1.02,2.8,3.44,3.16,7.6,3.46,9.62,3.64,378.3
Laptop,Cat3,0.61,7.84,6.44,5.0,1.43,6.89,8.65,5.37,0.94,379.68
Audio Equipment,Cat4,9.16,8.74,1.61,3.82,7.56,9.73,7.98,2.47,7.1,541.65
Microwave Oven,Cat2,5.52,2.02,2.01,9.96,6.27,4.84,4.2,9.79,6.87,380.26
Speaker,Cat4,7.84,1.92,1.57,1.42,4.48,3.11,4.16,9.94,7.51,470.57
Washing Machine,Cat1,4.72,9.95,6.73,6.68,4.65,5.46,2.45,3.19,7.58,598.39
TV,Cat4,0.84,8.94,6.34,8.35,0.58,1.24,4.77,5.53,3.21,386.13
Monitor,Cat4,2.06,5.72,2.74,6.68,9.05,1.08,3.3,1.7,4.85,251.46
Toaster,Cat2,9.4,7.05,3.58,1.87,8.14,4.72,8.62,0.25,4.02,657.94
Vacuum Cleaner,Cat2,1.06,0.34,8.72,1.75,6.81,8.01,6.3,0.62,1.9,519.75
Washing Machine,Cat1,2.8,4.77,7.22,9.93,2.51,8.16,7.66,1.64,5.56,527.36
Speaker,Cat4,4.69,0.42,1.33,4.31,7.48,5.84,2.41,3.67,5.38,302.16
Speaker,Cat4,9.88,8.26,2.86,0.77,5.06,1.3,1.59,0.3,0.33,643.53
Laptop,Cat3,3.22,8.49,9.75,1.88,8.67,5.19,2.0,2.24,5.74,685.72
Laptop,Cat3,0.21,6.25,8.28,5.88,3.44,1.6,4.51,3.12,7.41,457.63
Microwave Oven,Cat2,0.58,9.91,5.86,7.49,5.28,9.94,6.49,9.26,10.0,348.42
Speaker,Cat4,0.46,2.38,8.88,0.72,4.83,6.61,8.8,4.38,2.29,499.96
iPhone 11,Cat3,3.07,4.83,2.96,3.2,8.47,4.76,4.62,2.71,6.18,312.42
Iron,Cat2,5.76,5.39,2.66,7.45,5.74,3.45,4.81,6.39,8.2,428.78
Speaker,Cat4,0.7,1.04,4.25,5.2,7.83,8.99,6.81,9.47,7.39,262.99
Vacuum Cleaner,Cat2,3.04,8.21,8.71,6.82,8.88,6.79,1.01,0.81,2.46,621.02
Tablet,Cat3,7.87,8.04,3.93,3.72,4.44,1.89,4.17,3.53,8.73,601.98
Tablet,Cat3,2.76,7.3,7.01,1.15,3.63,7.75,2.78,4.93,3.38,515.6
Smartphone,Cat3,2.6,2.05,9.38,7.6,2.98,8.31,2.88,1.13,6.31,631.71
Monitor,Cat4,7.3,3.68,6.24,4.51,3.26,6.11,4.97,8.76,1.38,695.31
iPhone 11,Cat3,1.71,8.82,2.56,9.92,8.31,0.22,10.0,8.27,8.43,226.36
Iron,Cat2,5.28,8.09,8.08,4.18,2.18,2.36,0.58,8.07,1.05,697.08
Vacuum Cleaner,Cat2,0.49,5.85,3.15,3.16,9.11,1.41,9.87,9.95,6.69,196.36
Speaker,Cat4,1.97,6.23,7.21,1.76,9.94,1.14,0.26,0.83,8.87,486.85
