Item,Gold (g),Aluminum (g),Silver (g),Carbon (g),Platinum (g),Rhodium (g),Nickel (g),Tin (g),Lithium (g)
iPad Pro,4.3,1.62,1.3,0.77,0.05,0.07,1.12,1.27,2.88
Microsoft Surface Pro,0.24,0.29,2.5,0.55,0.15,0.06,0.45,1.06,0.96
Lenovo ThinkPad X1,4.6,1.86,1.69,0.59,0.09,0.05,0.16,0.58,1.09
Lenovo ThinkPad X1,4.51,0.71,0.59,0.55,0.19,0.01,1.21,0.81,0.48
Xbox Series X,3.17,0.7,1.65,0.24,0.14,0.09,0.23,0.64,0.88
MacBook Pro,3.43,0.79,2.6,0.5,0.08,0.08,1.61,0.54,2.94
Amazon Kindle,1.87,0.67,2.96,0.3,0.16,0.06,0.67,0.38,0.63
Google Pixel 6,3.38,1.16,0.65,0.78,0.2,0.08,0.75,0.11,1.83
Nintendo Switch,1.83,1.45,1.6,0.79,0.08,0.08,1.27,0.49,2.82
Apple Watch,3.67,0.75,2.36,0.13,0.17,0.1,0.5,0.64,2.69
Nintendo Switch,2.81,0.7,1.8,0.76,0.15,0.07,1.48,1.09,2.7
Nikon D3500,0.4,1.07,1.42,0.58,0.13,0.09,1.29,0.32,0.29
Fitbit Charge,3.91,1.36,2.3,0.75,0.06,0.03,0.89,0.57,0.2
OnePlus 9 Pro,2.14,1.4,1.77,0.33,0.06,0.06,0.82,0.59,0.83
iPhone 11,2.65,2.0,2.86,0.21,0.12,0.03,1.46,0.89,2.92
Samsung Galaxy S20,3.67,1.62,2.08,0.5,0.07,0.02,1.68,1.28,2.52
HP Spectre x360,1.01,1.93,0.8,0.49,0.07,0.1,0.59,0.71,1.0
Microsoft Surface Pro,2.37,1.31,1.43,0.17,0.15,0.07,1.57,1.48,0.21
Apple Watch,4.62,1.94,1.74,0.15,0.17,0.04,1.56,0.25,0.48
HP Spectre x360,0.17,0.55,2.48,0.98,0.09,0.09,1.22,0.29,1.86
iPhone 11,2.49,1.91,0.49,0.41,0.06,0.04,1.98,0.78,2.88
Samsung Galaxy S20,1.44,1.39,1.67,0.92,0.03,0.03,1.88,1.43,2.5
Nikon D3500,2.86,0.11,2.48,0.52,0.17,0.02,1.57,0.34,0.94
OnePlus 9 Pro,0.6,1.6,2.64,0.64,0.05,0.05,1.03,1.09,0.92
Amazon Kindle,2.13,1.33,1.48,0.75,0.13,0.05,1.98,0.54,0.96
Nintendo Switch,1.2,1.84,0.4,0.52,0.15,0.02,0.24,0.32,1.2
Nikon D3500,2.19,0.85,2.64,0.18,0.01,0.09,0.25,0.23,1.23
Dell XPS 13,2.87,1.95,1.49,0.2,0.06,0.02,0.51,1.29,0.69
LG OLED TV,3.59,1.37,1.46,0.78,0.15,0.03,0.46,0.89,2.26
Dell XPS 13,0.2,1.48,2.23,0.19,0.2,0.02,0.36,0.43,1.76
Lenovo ThinkPad X1,4.31,0.51,0.75,0.49,0.19,0.08,0.11,0.36,0.46
Canon EOS R5,0.45,1.54,0.34,0.28,0.06,0.01,1.84,0.1,1.85
Microsoft Surface Pro,2.26,1.64,0.29,0.68,0.03,0.09,1.76,1.06,1.19
MacBook Pro,1.84,0.46,1.68,0.32,0.18,0.01,0.71,0.31,1.37
Raspberry Pi 4,3.25,1.16,2.93,0.38,0.16,0.08,1.26,0.98,1.78
Dell XPS 13,0.96,0.89,2.66,0.56,0.07,0.07,0.92,0.47,2.07
Lenovo ThinkPad X1,3.73,0.22,0.47,0.59,0.05,0.03,1.42,0.46,0.71
Fitbit Charge,4.58,1.95,2.58,0.4,0.02,0.03,0.37,0.91,1.53
OnePlus 9 Pro,2.63,1.68,1.4,0.88,0.15,0.06,0.78,0.3,0.37
iPhone 11,0.29,0.72,1.67,0.92,0.13,0.06,1.41,1.0,0.56
MacBook Pro,2.67,0.86,0.43,0.22,0.09,0.03,1.65,0.64,0.48
iPhone 11,4.86,1.05,2.61,0.49,0.06,0.09,0.84,1.38,1.0
Google Pixel 6,3.68,1.24,0.21,0.39,0.07,0.03,0.76,0.96,1.57
Google Pixel 6,2.1,1.89,0.19,0.98,0.07,0.09,0.96,0.58,1.54
Lenovo ThinkPad X1,1.08,1.86,2.19,0.66,0.12,0.03,0.3,1.14,0.46
Microsoft Surface Pro,1.65,0.63,1.08,0.83,0.02,0.04,0.29,0.99,0.71
Samsung Galaxy S20,4.38,1.8,1.65,0.28,0.12,0.04,0.15,0.26,0.95
iPhone 11,4.07,1.63,2.7,0.96,0.14,0.08,0.66,0.97,2.43
Samsung Galaxy S20,4.85,0.99,0.34,0.86,0.07,0.09,0.75,0.69,0.21
Raspberry Pi 4,0.43,0.75,2.85,0.41,0.1,0.05,1.85,0.72,2.43
LG OLED TV,4.16,1.74,1.23,0.71,0.04,0.06,1.04,1.07,0.64
iPhone 11,4.1,1.82,0.47,0.75,0.17,0.05,0.22,1.49,0.24
Nikon D3500,2.89,1.31,2.64,0.95,0.04,0.09,1.57,1.03,0.53
Nintendo Switch,3.86,1.21,2.93,0.51,0.2,0.03,1.88,1.27,1.49
Amazon Kindle,4.63,0.1,1.35,0.95,0.09,0.04,0.97,0.71,1.25
Xbox Series X,3.5,1.44,2.99,0.49,0.12,0.02,1.67,0.96,1.3
Dell XPS 13,4.06,1.07,1.12,0.29,0.01,0.03,0.92,0.2,2.81
Samsung Galaxy S20,4.33,0.88,0.28,0.66,0.09,0.1,1.55,1.07,2.64
LG OLED TV,1.65,0.85,2.75,0.3,0.14,0.05,1.86,0.64,1.76
Microsoft Surface Pro,4.76,1.73,0.14,0.16,0.19,0.02,0.54,0.98,2.57
Xbox Series X,1.76,1.45,0.77,0.44,0.16,0.03,1.5,0.91,0.17
Nintendo Switch,4.22,0.79,2.9,0.97,0.2,0.02,0.35,0.42,2.69
Nikon D3500,2.2,0.23,1.07,0.93,0.1,0.08,0.42,1.45,1.44
Sony PlayStation 5,4.99,0.47,0.33,0.99,0.03,0.07,0.2,0.53,1.89
Sony PlayStation 5,4.82,0.61,2.89,0.41,0.12,0.02,0.36,0.89,1.29
Canon EOS R5,1.85,0.14,0.14,0.14,0.14,0.02,0.48,0.26,1.36
Nintendo Switch,0.75,0.51,2.96,0.43,0.04,0.02,0.99,1.22,2.24
Sony PlayStation 5,0.75,1.54,1.49,0.65,0.07,0.09,0.64,0.87,2.77
Nintendo Switch,3.94,0.28,0.55,0.8,0.1,0.05,1.45,1.29,0.79
iPhone 11,1.44,0.56,2.83,0.4,0.14,0.1,0.13,0.22,2.73
Nikon D3500,0.42,1.12,0.86,0.3,0.12,0.04,0.81,0.27,2.53
Fitbit Charge,0.35,0.96,2.47,0.92,0.17,0.06,0.14,1.08,2.11
Nintendo Switch,3.88,1.91,2.83,0.2,0.16,0.03,0.29,1.37,1.63
Dell XPS 13,0.3,0.38,2.35,0.61,0.03,0.09,1.98,0.62,1.37
Samsung Galaxy S20,1.85,0.21,2.03,0.89,0.07,0.02,0.25,1.26,0.3
Google Pixel 6,2.84,1.18,2.75,0.95,0.07,0.06,1.58,0.45,0.47
LG OLED TV,1.29,1.83,1.63,0.49,0.04,0.05,1.64,0.11,1.51
Lenovo ThinkPad X1,1.37,0.63,1.28,0.69,0.17,0.1,1.57,1.35,2.22
Xbox Series X,1.12,1.29,0.56,0.99,0.14,0.08,1.34,0.34,1.07
MacBook Pro,3.61,1.79,1.54,0.97,0.09,0.1,1.28,0.89,1.19
Amazon Kindle,4.87,0.52,2.92,0.49,0.17,0.03,1.59,0.34,2.94
Apple Watch,0.41,1.6,2.36,0.62,0.03,0.02,1.66,0.42,1.47
Apple Watch,3.22,0.94,2.05,0.77,0.16,0.03,1.89,1.11,1.25
Nintendo Switch,3.64,0.27,2.57,0.62,0.13,0.09,0.21,0.52,2.31
Dell XPS 13,0.59,0.71,0.56,0.1,0.01,0.02,2.0,0.31,1.14
LG OLED TV,1.09,1.99,0.98,0.64,0.11,0.08,0.64,1.09,0.76
Dell XPS 13,0.21,1.4,2.99,0.19,0.17,0.08,0.93,1.35,0.44
Amazon Kindle,1.04,1.6,2.19,0.41,0.02,0.05,0.59,0.56,0.3
Canon EOS R5,4.21,1.89,2.26,0.8,0.05,0.07,0.35,0.8,0.11
Fitbit Charge,0.89,1.24,0.45,0.15,0.09,0.03,0.44,1.24,0.53
Samsung Galaxy S20,2.97,0.27,0.29,0.66,0.08,0.09,1.03,1.29,2.11
Dell XPS 13,0.34,0.99,1.01,0.36,0.11,0.08,1.21,0.61,1.27
Raspberry Pi 4,1.99,1.99,2.78,0.67,0.07,0.06,1.6,0.75,2.49
iPad Pro,4.27,0.8,0.84,0.32,0.06,0.06,1.22,0.37,1.84
Nikon D3500,2.8,1.3,0.23,0.68,0.12,0.02,1.16,1.14,2.86
Xbox Series X,2.66,1.53,1.71,0.25,0.16,0.09,0.8,1.08,0.19
Microsoft Surface Pro,4.76,1.05,0.62,0.81,0.18,0.03,1.97,0.98,1.4
Raspberry Pi 4,1.23,1.33,1.58,0.56,0.14,0.1,0.49,0.71,0.73
Sony PlayStation 5,0.53,0.55,2.5,0.96,0.19,0.1,1.73,1.12,0.13
Dell XPS 13,2.04,0.72,1.93,0.93,0.16,0.02,1.14,0.29,2.42
Apple Watch,1.47,1.07,2.41,0.6,0.06,0.03,0.14,1.27,1.29
HP Spectre x360,4.96,0.44,0.34,0.27,0.14,0.07,0.86,1.19,0.42
Amazon Kindle,4.69,0.61,2.38,0.14,0.18,0.05,1.1,0.72,2.28
Xbox Series X,3.81,0.31,2.25,0.26,0.19,0.07,1.62,0.12,1.77
Samsung Galaxy S20,2.11,1.59,1.33,0.11,0.04,0.06,0.82,0.15,0.39
Samsung Galaxy S20,4.47,1.95,2.69,0.64,0.16,0.07,0.12,1.43,0.19
Canon EOS R5,2.25,0.7,1.54,0.7,0.08,0.09,1.93,1.49,2.08
Samsung Galaxy S20,3.19,0.74,0.86,0.42,0.04,0.09,0.3,0.52,0.91
Google Pixel 6,4.8,1.31,1.18,0.64,0.03,0.06,0.11,0.61,2.28
Samsung Galaxy S20,3.71,1.14,2.78,0.74,0.15,0.07,0.72,0.46,1.68
MacBook Pro,0.2,0.72,1.68,0.59,0.16,0.08,0.55,0.92,2.44
Sony PlayStation 5,0.68,1.82,2.35,0.49,0.12,0.04,1.91,1.43,2.07
Microsoft Surface Pro,2.01,1.74,1.79,0.9,0.12,0.01,0.62,0.36,2.62
Nikon D3500,2.98,1.1,2.71,0.64,0.06,0.02,1.57,1.29,2.08
Sony PlayStation 5,3.73,1.55,2.79,0.56,0.14,0.07,0.72,1.01,2.77
HP Spectre x360,2.39,0.15,0.16,0.32,0.16,0.05,0.24,0.63,2.71
Raspberry Pi 4,2.28,0.43,0.79,0.92,0.12,0.04,0.95,1.31,2.09
Canon EOS R5,4.44,1.79,2.03,0.87,0.19,0.03,0.99,0.82,0.47
Google Pixel 6,1.33,0.63,1.53,0.69,0.1,0.06,1.58,1.14,0.76
OnePlus 9 Pro,3.21,0.7,2.07,0.12,0.13,0.03,1.31,1.26,2.59
Google Pixel 6,3.41,1.47,2.48,0.72,0.14,0.08,1.58,0.31,1.64
OnePlus 9 Pro,4.82,0.62,0.86,0.34,0.19,0.08,1.36,0.48,0.86
Samsung Galaxy S20,2.89,0.37,2.25,0.49,0.11,0.08,1.45,0.85,2.71
Fitbit Charge,4.67,1.87,1.64,0.51,0.04,0.04,1.82,0.69,0.49
Lenovo ThinkPad X1,3.14,0.25,1.67,0.63,0.15,0.07,1.91,0.2,2.24
Apple Watch,0.23,1.91,1.8,0.99,0.16,0.05,0.95,0.99,2.11
Nikon D3500,0.22,1.85,2.47,0.7,0.16,0.05,0.29,1.35,0.64
Nikon D3500,3.76,0.9,1.47,0.29,0.08,0.08,0.66,0.75,2.74
Fitbit Charge,1.01,1.83,2.34,0.94,0.09,0.09,1.9,0.12,1.14
Samsung Galaxy S20,1.44,0.54,1.91,0.61,0.08,0.05,0.44,1.42,1.31
Lenovo ThinkPad X1,0.33,0.42,1.25,0.56,0.16,0.07,1.16,0.63,2.31
Microsoft Surface Pro,4.11,1.38,0.47,0.84,0.09,0.07,1.65,1.47,1.8
Samsung Galaxy S20,1.32,0.16,1.54,0.94,0.07,0.04,0.22,0.14,1.32
Raspberry Pi 4,3.25,0.26,2.29,0.88,0.02,0.06,0.71,1.33,2.62
Sony PlayStation 5,0.25,1.42,1.1,0.29,0.13,0.06,1.46,0.41,0.22
Amazon Kindle,1.66,0.71,1.27,0.63,0.17,0.03,1.3,0.12,0.37
Dell XPS 13,3.75,1.5,0.64,0.25,0.18,0.01,0.2,0.62,1.5
iPad Pro,0.16,0.57,1.56,0.59,0.08,0.03,0.8,0.14,0.51
Raspberry Pi 4,0.7,0.2,1.68,0.34,0.14,0.08,0.88,1.17,2.0
Amazon Kindle,3.52,1.38,0.46,0.29,0.19,0.02,1.71,1.17,0.33
Lenovo ThinkPad X1,2.76,1.29,1.21,0.53,0.14,0.05,1.08,1.14,1.16
Amazon Kindle,3.75,1.2,0.43,0.68,0.1,0.06,0.44,1.27,2.04
Nikon D3500,0.8,1.82,2.77,0.21,0.08,0.03,0.88,0.48,1.25
Canon EOS R5,3.56,0.52,1.28,0.55,0.13,0.06,0.58,1.49,2.74
Apple Watch,2.98,1.78,1.92,0.34,0.18,0.06,0.29,0.22,2.97
Apple Watch,1.58,1.76,2.87,0.96,0.04,0.07,1.24,0.67,1.56
Xbox Series X,4.16,1.48,0.28,0.85,0.03,0.04,0.96,1.32,1.83
iPad Pro,3.98,1.12,2.56,0.81,0.08,0.09,1.56,0.25,0.59
Xbox Series X,2.41,1.93,2.17,0.36,0.14,0.05,0.53,1.39,0.81
Lenovo ThinkPad X1,3.59,1.5,1.1,0.32,0.17,0.04,1.83,0.25,0.27
Amazon Kindle,2.42,1.16,0.49,0.56,0.17,0.04,0.94,0.47,2.69
Amazon Kindle,3.29,0.54,2.89,0.17,0.17,0.01,0.23,0.75,1.24
Apple Watch,0.56,1.14,2.72,0.75,0.2,0.07,0.56,1.38,1.46
Dell XPS 13,1.58,0.66,2.7,0.17,0.07,0.02,0.2,1.26,2.19
Microsoft Surface Pro,2.59,0.62,0.43,0.65,0.16,0.04,1.56,0.55,1.29
Canon EOS R5,2.64,1.58,0.67,0.27,0.07,0.04,0.33,0.42,0.63
LG OLED TV,2.78,1.21,1.75,0.26,0.16,0.05,1.59,0.36,2.66
Dell XPS 13,2.6,1.96,1.2,0.24,0.07,0.08,0.98,0.9,1.53
iPad Pro,1.37,0.73,0.51,0.64,0.14,0.03,0.8,1.15,1.05
Samsung Galaxy S20,3.6,0.81,1.14,0.99,0.06,0.01,1.67,0.45,2.77
Canon EOS R5,1.76,0.35,2.14,0.82,0.12,0.03,0.54,1.13,0.31
Lenovo ThinkPad X1,1.26,0.67,2.45,0.79,0.16,0.02,1.47,0.63,1.94
Apple Watch,4.64,1.9,1.06,0.43,0.18,0.08,0.66,0.82,2.82
Fitbit Charge,0.89,1.61,0.63,0.64,0.04,0.06,0.64,0.91,0.85
Nikon D3500,2.65,1.05,2.19,0.46,0.15,0.08,1.99,0.34,1.71
iPhone 11,1.48,0.38,1.59,0.72,0.19,0.02,1.57,0.58,0.57
HP Spectre x360,4.63,0.86,1.21,0.99,0.18,0.04,1.14,0.78,0.39
iPad Pro,1.73,1.86,0.78,0.28,0.14,0.05,0.71,1.13,0.79
HP Spectre x360,3.73,0.81,0.51,0.82,0.19,0.03,1.07,1.39,1.01
Fitbit Charge,1.62,1.24,2.17,0.77,0.08,0.08,0.94,1.19,1.97
Apple Watch,1.36,1.68,2.53,0.39,0.17,0.1,1.11,0.48,1.1
Fitbit Charge,1.84,1.01,2.87,0.95,0.09,0.09,1.74,0.57,0.47
Dell XPS 13,0.5,0.28,2.14,0.93,0.08,0.04,0.85,1.38,1.81
Dell XPS 13,1.91,0.42,1.56,0.42,0.05,0.08,0.47,0.31,2.69
HP Spectre x360,2.83,0.57,2.33,0.64,0.06,0.03,0.58,0.8,1.45
Raspberry Pi 4,2.78,0.71,2.61,0.82,0.08,0.09,0.89,1.47,2.49
Sony PlayStation 5,0.63,1.36,0.67,0.53,0.01,0.06,0.49,0.37,2.38
Nintendo Switch,4.96,0.81,0.87,0.12,0.19,0.05,0.59,0.72,2.04
iPhone 11,1.37,0.36,2.5,0.41,0.12,0.08,1.02,1.38,1.29
Canon EOS R5,1.43,0.74,1.89,0.5,0.18,0.09,1.15,0.22,1.3
Nintendo Switch,2.39,0.28,2.93,0.51,0.16,0.03,1.39,0.45,0.76
Microsoft Surface Pro,4.89,1.49,2.72,0.51,0.06,0.09,0.99,1.08,0.66
Amazon Kindle,1.42,1.92,0.67,0.12,0.1,0.08,1.1,0.62,0.85
OnePlus 9 Pro,4.46,0.98,2.52,0.39,0.02,0.06,0.77,0.73,0.28
Xbox Series X,0.1,1.82,1.0,0.75,0.04,0.05,1.92,0.98,1.86
Sony PlayStation 5,1.62,1.24,0.65,0.36,0.12,0.02,1.87,1.34,0.65
iPhone 11,0.16,1.86,0.35,0.3,0.01,0.08,0.24,0.85,0.57
iPad Pro,2.14,1.47,2.53,0.99,0.12,0.08,0.68,0.62,0.74
iPhone 11,3.1,1.68,2.24,0.23,0.08,0.01,1.67,1.05,1.06
Raspberry Pi 4,1.45,1.5,1.22,0.43,0.09,0.03,1.43,0.58,1.01
Dell XPS 13,1.47,0.59,0.5,0.98,0.1,0.09,0.7,0.34,2.32
Amazon Kindle,2.1,0.24,0.96,0.36,0.11,0.06,0.25,1.36,1.0
iPad Pro,1.59,0.53,2.62,0.93,0.08,0.01,0.35,0.96,1.49
Fitbit Charge,1.21,0.92,1.68,0.59,0.15,0.01,1.16,1.12,2.25
iPad Pro,3.14,0.15,2.58,0.97,0.14,0.05,0.43,0.17,1.94
Dell XPS 13,3.19,1.99,1.3,0.15,0.18,0.09,0.45,1.04,2.0
iPhone 11,0.18,0.2,0.78,0.16,0.03,0.07,1.61,0.91,1.63
Lenovo ThinkPad X1,1.4,1.76,1.92,0.46,0.09,0.06,1.32,0.31,1.17
Dell XPS 13,1.8,0.73,1.91,0.12,0.19,0.02,0.81,0.85,0.47
Fitbit Charge,4.5,0.37,2.57,0.89,0.18,0.05,0.97,0.65,1.62
OnePlus 9 Pro,2.81,1.29,2.16,0.4,0.01,0.02,0.15,1.2,1.34
HP Spectre x360,3.85,0.21,1.73,0.39,0.12,0.05,0.67,0.6,1.23
Apple Watch,0.51,0.28,0.57,0.51,0.08,0.08,0.45,1.46,2.24
HP Spectre x360,0.59,0.45,0.58,0.68,0.16,0.07,0.47,0.93,0.53
Dell XPS 13,3.92,1.8,0.27,0.39,0.19,0.07,0.51,0.78,2.84
Fitbit Charge,3.64,0.37,0.36,0.6,0.18,0.07,0.36,1.15,0.2
OnePlus 9 Pro,0.14,0.55,1.3,0.55,0.18,0.04,0.72,1.13,1.95
Apple Watch,1.92,0.29,0.82,0.45,0.03,0.03,1.6,0.67,1.35
Amazon Kindle,0.54,0.1,2.01,0.68,0.15,0.04,0.46,1.24,1.77
Raspberry Pi 4,2.39,1.41,2.98,0.33,0.08,0.1,0.35,0.32,2.59
LG OLED TV,3.48,0.21,0.24,0.36,0.03,0.05,1.09,0.87,2.84
Samsung Galaxy S20,3.77,1.66,2.81,0.2,0.07,0.01,0.33,0.33,1.81
LG OLED TV,4.84,1.61,0.14,0.33,0.17,0.08,0.94,0.26,2.09
Xbox Series X,0.95,1.3,1.48,0.85,0.01,0.09,0.65,0.67,1.32
Canon EOS R5,4.62,0.27,2.76,0.27,0.19,0.07,1.15,1.37,2.88
iPad Pro,3.75,1.63,2.93,0.53,0.13,0.1,0.48,0.24,1.41
OnePlus 9 Pro,0.96,0.47,0.14,0.39,0.16,0.06,0.25,1.23,2.88
LG OLED TV,4.02,0.99,1.34,0.6,0.1,0.02,1.62,1.04,0.14
Dell XPS 13,0.62,0.94,2.66,0.29,0.15,0.03,0.48,1.22,2.53
Canon EOS R5,1.04,0.25,0.99,0.87,0.06,0.04,1.38,1.42,2.01
HP Spectre x360,1.11,0.81,2.6,0.42,0.14,0.09,0.34,0.83,2.27
Microsoft Surface Pro,3.55,0.55,2.82,0.11,0.1,0.09,1.44,1.04,0.16
iPad Pro,1.07,1.59,0.79,0.22,0.1,0.03,0.58,1.41,2.38
Samsung Galaxy S20,1.93,1.77,0.84,0.99,0.03,0.03,1.41,0.16,1.07
iPhone 11,2.99,1.84,1.63,0.25,0.2,0.06,1.7,1.11,2.14
Raspberry Pi 4,1.37,1.03,1.85,0.4,0.16,0.02,0.4,0.18,0.76
Google Pixel 6,1.72,1.03,2.5,0.51,0.15,0.02,1.73,1.09,0.53
iPad Pro,3.15,0.92,0.74,0.29,0.1,0.03,1.01,0.2,2.57
Xbox Series X,0.67,1.3,2.41,0.65,0.13,0.03,1.47,1.28,2.32
HP Spectre x360,0.4,1.39,2.41,0.26,0.14,0.04,0.24,1.44,2.89
Apple Watch,2.53,0.22,1.89,0.84,0.04,0.03,0.85,0.25,0.58
Samsung Galaxy S20,0.16,1.34,1.23,0.42,0.19,0.06,0.45,0.2,0.6
Microsoft Surface Pro,3.47,1.71,2.54,0.3,0.2,0.07,1.87,0.47,0.45
LG OLED TV,0.55,1.6,2.29,0.7,0.14,0.07,1.18,0.88,0.31
HP Spectre x360,2.06,0.56,0.11,0.28,0.12,0.08,1.85,1.19,2.0
Google Pixel 6,1.18,0.37,2.11,0.15,0.07,0.02,0.81,0.53,2.45
LG OLED TV,4.64,0.14,2.06,0.94,0.02,0.02,1.83,1.39,1.14
Fitbit Charge,3.47,0.8,2.06,0.85,0.1,0.05,0.79,0.41,0.66
Apple Watch,1.48,0.98,2.59,0.66,0.14,0.02,1.01,0.47,1.77
OnePlus 9 Pro,1.06,0.34,2.5,0.58,0.08,0.08,0.83,0.21,1.29
Dell XPS 13,1.43,1.07,0.19,0.4,0.07,0.08,1.54,0.83,0.83
Xbox Series X,2.23,1.16,2.45,0.71,0.15,0.06,0.88,0.33,1.8
Google Pixel 6,4.49,0.19,2.74,0.61,0.09,0.02,1.65,1.2,1.87
Google Pixel 6,4.74,1.72,0.45,0.14,0.07,0.05,1.82,0.88,0.14
Amazon Kindle,4.5,1.74,2.32,0.58,0.05,0.03,0.72,0.54,0.63
OnePlus 9 Pro,4.96,0.68,0.45,0.15,0.17,0.09,1.74,0.79,2.0
Raspberry Pi 4,1.38,0.54,0.92,0.31,0.17,0.07,1.96,1.13,2.71
Canon EOS R5,1.65,1.12,2.66,0.35,0.18,0.08,0.86,0.85,0.91
Google Pixel 6,2.58,0.4,2.91,0.99,0.04,0.03,1.46,0.27,0.72
Google Pixel 6,3.43,0.87,2.39,0.21,0.15,0.05,0.56,0.26,1.27
Apple Watch,1.59,0.18,0.73,0.73,0.17,0.03,0.59,0.99,1.98
OnePlus 9 Pro,0.78,1.4,2.3,0.77,0.12,0.03,1.12,0.22,1.67
Raspberry Pi 4,0.61,0.12,1.13,0.93,0.16,0.08,1.06,0.49,1.84
Sony PlayStation 5,4.23,1.28,0.26,0.97,0.09,0.09,1.28,1.39,1.45
LG OLED TV,1.26,1.0,0.49,0.18,0.15,0.02,1.08,1.18,0.88
Sony PlayStation 5,1.9,1.67,1.6,0.39,0.04,0.03,1.49,0.81,1.67
Amazon Kindle,0.76,0.43,1.59,0.49,0.14,0.02,1.16,0.94,2.76
iPhone 11,0.66,0.3,0.23,0.25,0.19,0.07,1.46,0.79,2.42
Canon EOS R5,4.1,1.46,2.96,0.22,0.04,0.03,1.89,0.71,0.5
Google Pixel 6,3.55,0.15,1.33,0.21,0.04,0.02,1.81,0.19,2.72
Nikon D3500,3.5,1.21,2.84,0.65,0.15,0.03,1.86,0.53,0.73
Apple Watch,2.23,0.57,1.25,0.71,0.18,0.02,0.9,0.83,1.3
Xbox Series X,4.72,0.95,1.87,0.2,0.01,0.05,0.28,0.31,1.1
Nintendo Switch,3.02,1.25,2.52,0.65,0.12,0.05,1.73,1.3,1.11
Google Pixel 6,0.72,0.78,2.43,0.64,0.14,0.03,1.21,1.43,0.72
LG OLED TV,1.34,0.1,1.85,0.47,0.04,0.09,1.06,0.64,2.31
Amazon Kindle,2.33,0.6,2.7,0.88,0.17,0.06,1.36,0.33,2.62
Raspberry Pi 4,4.31,0.22,2.8,0.31,0.09,0.06,1.21,1.23,2.91
Fitbit Charge,0.66,0.84,2.47,0.3,0.12,0.05,1.67,1.04,2.54
Nintendo Switch,3.38,1.56,1.33,0.92,0.1,0.04,1.59,0.79,2.06
HP Spectre x360,1.48,0.79,1.17,0.41,0.18,0.07,1.92,1.29,2.01
Microsoft Surface Pro,1.79,1.55,1.9,0.69,0.18,0.03,0.79,1.06,2.47
OnePlus 9 Pro,4.33,1.32,2.55,0.37,0.06,0.08,1.38,0.28,0.5
Xbox Series X,1.53,1.03,0.25,0.76,0.06,0.08,1.42,0.82,2.7
Lenovo ThinkPad X1,2.42,0.92,2.23,0.83,0.12,0.02,0.7,0.55,1.25
Dell XPS 13,3.62,1.67,2.93,0.37,0.04,0.03,1.88,0.75,2.09
iPad Pro,1.95,1.83,2.9,0.39,0.12,0.01,1.49,1.45,1.32
Dell XPS 13,1.9,0.65,0.43,0.52,0.19,0.09,0.13,1.27,2.88
Nintendo Switch,0.63,1.35,0.2,0.63,0.17,0.09,0.96,1.25,2.12
Amazon Kindle,0.32,1.26,0.13,0.12,0.05,0.08,1.52,1.29,0.88
iPhone 11,0.14,0.18,1.77,0.48,0.02,0.02,1.45,1.35,2.07
Nintendo Switch,4.92,1.55,0.12,0.4,0.18,0.02,1.06,1.48,2.57
Google Pixel 6,0.53,0.29,2.69,0.66,0.2,0.04,1.73,0.64,0.42
LG OLED TV,0.93,1.79,0.45,0.97,0.11,0.07,1.19,1.04,2.47
OnePlus 9 Pro,1.72,1.08,2.06,0.31,0.07,0.03,1.84,0.11,2.25
Samsung Galaxy S20,0.81,1.04,1.31,0.19,0.08,0.07,0.74,0.37,0.23
Sony PlayStation 5,2.65,1.53,2.44,0.79,0.05,0.05,1.59,0.18,2.74
Nintendo Switch,1.51,1.38,0.84,0.72,0.1,0.03,1.74,1.39,2.54
iPhone 11,2.01,0.5,1.69,0.53,0.17,0.04,1.93,0.14,0.23
iPhone 11,4.98,1.42,0.12,0.42,0.07,0.07,0.65,0.68,0.94
Apple Watch,3.1,0.82,1.13,0.83,0.07,0.02,0.45,1.08,0.33
Samsung Galaxy S20,1.09,1.34,1.75,0.88,0.06,0.02,1.51,1.45,0.59
Dell XPS 13,2.5,0.91,0.61,0.75,0.11,0.06,1.48,1.27,0.67
iPad Pro,2.41,0.19,1.7,0.69,0.12,0.06,1.69,1.33,2.52
Samsung Galaxy S20,1.65,1.52,1.9,0.88,0.03,0.01,0.91,0.87,1.67
Raspberry Pi 4,1.82,1.75,0.23,0.91,0.04,0.03,1.37,0.86,1.97
iPhone 11,1.62,0.74,0.22,0.46,0.17,0.02,1.79,0.39,1.53
Apple Watch,3.09,0.43,2.34,0.1,0.19,0.03,1.02,0.5,1.81
Amazon Kindle,4.79,0.43,2.37,0.42,0.08,0.04,0.94,0.12,1.74
Microsoft Surface Pro,1.34,1.14,1.87,0.85,0.05,0.09,0.74,0.66,1.32
OnePlus 9 Pro,2.83,1.8,0.95,0.83,0.19,0.04,1.75,0.76,2.45
Sony PlayStation 5,0.27,0.22,1.49,0.36,0.09,0.1,1.37,0.76,1.44
Fitbit Charge,4.83,0.99,0.61,0.78,0.16,0.1,1.49,0.41,1.87
MacBook Pro,3.15,0.26,2.79,0.92,0.08,0.09,0.17,0.97,0.88
MacBook Pro,4.59,0.99,2.29,0.86,0.09,0.02,1.04,0.9,1.17
Google Pixel 6,0.81,0.68,2.79,0.16,0.19,0.07,1.26,0.53,1.2
